Organization,Count
Евразийский национальный университет имени Л.Н. Гумилева,8
Кокандский государственный педагогический институт,8
Кокандского государственного педагогического института,8
Навоийского государственного  горно-технологического университета,8
Научно-исследовательском институте ирригации и водных проблем,8
"Национального исследовательского  технологического университета ""МИСИС""",8
Омский государственный университет путей сообщения,8
Ошский государственный университет,8
Санкт-Петербургского университета,8
Северо-Восточный федеральный университет им. М.К. Аммосова,8
Сибирского федерального университета,8
Ташкентский государственный экономический университет,8
Ташкентского архитектурно-строительного университета,8
Ташкентского института текстильной  и легкой промышленности,8
Ташкентского университета информационных технологий  имени Мухаммада Аль-Хорезми,8
Ташкентском государственном техническом университете имени Ислама Каримова,8
Туринский политехнический университет,8
Узбекский научно-исследовательский институт натуральных волокон,8
Южно-Казахстанский государственный университет  имени Мухтара,8
Андижанский государственный технический институт,7
Андижанский госуниверситет,7
Белорусский национальный технический университет,7
Бухарский государственный медицинский институт,7
Бухарский государственный технический университет,7
Евразийский национальный университет им. Л.Н. Гумилева,7
Казахский национальный исследовательский технический университет  имени К.И. Сатпаева,7
Каршинского государственного университета,7
Московского университета,7
Навоийский государственный горный и технологический университет,7
Научно-исследовательского института ирригации и водных проблем,7
ООО Ташкентского научно-исследовательского института химической технологии,7
Пермского национального исследовательского политехнического университета,7
Петербургский государственный университет путей сообщения  ,7
Самаркандский государственный  архитектурно-строительный университет,7
Санкт-Петербургский политехнический университет,7
Санкт-Петербургского государственного аграрного университета,7
Ташкентский государственный технический университет имени И. Каримова,7
Ташкентский институт текстильный и легкой промышленности,7
Ташкентский химко-технологический институт,7
Ташкентского государственного аграрного университета,7
Тюменский индустриальный университет,7
Уфимского государственного технического университета,7
Ферганский государственный технический университет,7
Чирчикский государственный педагогический институт,7
Чирчикского государственного педагогического университета,7
Алтайского государственного аграрного университета,6
Ангренского университета,6
Андижанский Машиностроительный институт,6
Андижанского государственного медицинского института (АГМИ),6
Белорусско-Узбекского межотраслевого института,6
